duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
1.2305251523583811,tcp,pop_3,SF,5,0,0,2,0,4,0,0,0,0,0,0,2,0,1,0,0,0,465,426,0.47,0.45,0.49,0.56,0.08,0.4,0.15,201,148,0.08,0.42,0.41,0.12,0.18,0.17,0.53,0.53,Probe
24.486798958193397,tcp,http,SF,12,135500,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,65,48,0.05,0.04,0.1,0.08,0.4,0.01,0.36,39,34,0.37,0.01,0.59,0.07,0.06,0.06,0.11,0.1,NORMAL
1.274941904377958,tcp,http,S0,35,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,142,136,0.44,0.39,0.9,0.92,0.21,0.56,0.3,214,147,0.23,0.55,0.61,0.2,0.38,0.35,0.93,1.0,Probe
14.49510044487721,udp,ftp_data,SF,10414,100,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,120,71,0.0,0.0,0.01,0.01,0.94,0.08,0.07,193,192,0.92,0.08,0.54,0.03,0.06,0.06,0.01,0.01,NORMAL
20.273788240421165,tcp,ftp_data,SF,294,1427,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,7,6,0.09,0.08,0.03,0.03,0.9,0.25,0.38,212,187,0.88,0.25,0.27,0.03,0.12,0.13,0.02,0.03,NORMAL
36.87726065864687,tcp,smtp,SF,468,36,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,89,61,0.07,0.06,0.07,0.08,0.73,0.3,0.22,57,34,0.66,0.28,0.73,0.14,0.15,0.15,0.07,0.07,NORMAL
2.080785584246815,tcp,ssh,SF,1702,3445,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,177,125,0.1,0.11,0.01,0.01,0.68,0.23,0.47,58,36,0.66,0.21,0.8,0.05,0.02,0.02,0.01,0.01,NORMAL
1.5170041859882977,udp,http,SF,353,498,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,161,156,0.01,0.01,0.07,0.07,0.9,0.1,0.25,95,73,0.92,0.1,0.55,0.19,0.06,0.06,0.07,0.07,NORMAL
12.4403222606582,tcp,dns,SF,8,45106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,50,0.06,0.07,0.04,0.04,0.81,0.13,0.36,96,85,0.8,0.13,0.45,0.27,0.01,0.01,0.04,0.04,NORMAL
18.38758343770686,tcp,dns,SF,1700,7336,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0.1,0.12,0.01,0.01,0.78,0.01,0.2,106,89,0.73,0.01,0.79,0.25,0.03,0.03,0.01,0.01,NORMAL
